state,households,year
ALABAMA,2051545,2023
ALASKA,276852,2023
ARIZONA,2907014,2023
ARKANSAS,1232871,2023
CALIFORNIA,13699816,2023
COLORADO,2428261,2023
CONNECTICUT,1442969,2023
DELAWARE,412048,2023
DISTRICT OF COLUMBIA,334673,2023
FLORIDA,8966402,2023
GEORGIA,4150138,2023
HAWAII,493898,2023
IDAHO,733244,2023
ILLINOIS,5071288,2023
INDIANA,2754881,2023
IOWA,1337243,2023
KANSAS,1188340,2023
KENTUCKY,1853603,2023
LOUISIANA,1833915,2023
MAINE,616085,2023
MARYLAND,2384715,2023
MASSACHUSETTS,2800984,2023
MICHIGAN,4107809,2023
MINNESOTA,2344432,2023
MISSISSIPPI,1166617,2023
MISSOURI,2556271,2023
MONTANA,472867,2023
NEBRASKA,813864,2023
NEVADA,1224685,2023
NEW HAMPSHIRE,569493,2023
NEW JERSEY,3538457,2023
NEW MEXICO,856580,2023
NEW YORK,7809267,2023
NORTH CAROLINA,4392669,2023
NORTH DAKOTA,338059,2023
OHIO,4917309,2023
OKLAHOMA,1589105,2023
OREGON,1752050,2023
PENNSYLVANIA,5324209,2023
RHODE ISLAND,443980,2023
SOUTH CAROLINA,2177733,2023
SOUTH DAKOTA,378559,2023
TENNESSEE,2889226,2023
TEXAS,11260645,2023
UTAH,1167591,2023
VERMONT,279612,2023
VIRGINIA,3402670,2023
WASHINGTON,3101265,2023
WEST VIRGINIA,743644,2023
WISCONSIN,2495539,2023
WYOMING,247368,2023
PUERTO RICO,1277486,2023
