year,state,over_payment,under_payment,error_rate
2019,INDIANA,7.69,1.51,9.20
2019,IOWA,10.78,1.68,12.47
2019,KANSAS,6.59,0.51,7.10
2019,KENTUCKY,5.91,1.20,7.11
2019,LOUISIANA,3.26,0.53,3.79
2019,MAINE,15.66,3.46,19.12
2019,MARYLAND,6.82,1.61,8.43
2019,MASSACHUSETTS,3.96,0.93,4.89
2019,MICHIGAN,9.71,2.73,12.44
2019,MINNESOTA,7.83,1.94,9.78
2019,MISSISSIPPI,5.30,1.27,6.57
2019,MISSOURI,5.05,0.87,5.92
2019,MONTANA,5.32,1.96,7.29
2019,NEBRASKA,4.77,0.78,5.55
2019,NEVADA,6.10,0.59,6.69
2019,NEW HAMPSHIRE,6.70,1.83,8.53
2019,NEW JERSEY,5.21,3.26,8.47
2019,NEW MEXICO,7.32,2.02,9.34
2019,NEW YORK,5.94,0.37,6.30
2019,NORTH CAROLINA,4.20,1.59,5.78
2019,NORTH DAKOTA,3.95,0.96,4.92
2019,OHIO,6.56,1.48,8.04
2019,OKLAHOMA,7.03,1.06,8.09
2019,OREGON,8.93,0.81,9.74
2019,PENNSYLVANIA,5.83,1.17,7.01
2019,RHODE ISLAND,21.57,1.09,22.66
2019,SOUTH CAROLINA,4.11,0.98,5.09
2019,SOUTH DAKOTA,1.91,0.50,2.41
2019,TENNESSEE,5.88,0.84,6.72
2019,TEXAS,5.18,1.43,6.60
2019,UTAH,3.62,0.71,4.33
2019,VERMONT,2.56,0.45,3.01
2019,VIRGIN ISLANDS,5.28,1.49,6.76
2019,VIRGINIA,9.65,0.87,10.52
2019,WASHINGTON,4.10,0.78,4.88
2019,WEST VIRGINIA,5.66,1.78,7.44
2019,WISCONSIN,4.64,0.76,5.40
2019,WYOMING,2.25,0.17,2.42
