state,year,adjust,allotment,extendcert,face,onlineshop,postpone,report,telephonic,waiveini,waiverec,bbce,bbce_fpl
TENNESSEE,2022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
TENNESSEE,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
TEXAS,2022,0.5833333333333334,1.0,0.5833333333333334,0.0,1.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,1,-0.7157832672558799
TEXAS,2023,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,-0.7157832672558799
UTAH,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
UTAH,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
VERMONT,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.07498681847442489
VERMONT,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.07498681847442489
VIRGIN ISLANDS,2022,0.25,1.0,0.25,0.0,0.0,0.75,0.0,0.0,0.75,0.75,1,-0.32039822439072757
VIRGIN ISLANDS,2023,0.5,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,1,-0.32039822439072757
VIRGINIA,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0.6680643827721526
VIRGINIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1,0.6680643827721526
WASHINGTON,2022,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WASHINGTON,2023,0.5,0.3333333333333333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WEST VIRGINIA,2022,0.25,1.0,0.25,0.0,1.0,0.25,0.0,0.0,0.25,0.25,1,0.6680643827721526
WEST VIRGINIA,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.6680643827721526
WISCONSIN,2022,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
WISCONSIN,2023,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.6680643827721526
WYOMING,2022,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WYOMING,2023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0
